Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	Clan 11	boot_average	boot_max	boot_min	boot_stdev
Tree 1	65	0	0	1	0	0	0	0	0	0	0	0	65.887100	99.000000	28.000000	21.527256
Tree 2	67	0	0	1	0	0	0	0	1	0	0	0	76.984375	100.000000	25.000000	22.330254
Tree 3	59	0	0	?	0	0	0	0	1	0	0	0	75.946426	100.000000	27.000000	21.310141
Tree 4	65	0	0	1	0	0	0	0	0	0	0	0	73.903229	100.000000	14.000000	24.119802
Tree 5	60	0	0	1	0	0	0	0	0	0	0	0	73.596489	100.000000	21.000000	27.116941
Tree 6	62	0	0	1	0	0	0	0	0	0	0	0	46.709091	100.000000	1.000000	29.678688
Tree 7	58	0	1	1	0	0	0	0	0	0	0	0	71.218185	100.000000	12.000000	27.556023
Tree 8	70	0	0	1	0	1	0	1	1	0	0	0	79.134331	100.000000	11.000000	22.657673
Tree 9	65	0	0	1	0	0	0	0	0	0	0	0	73.048386	100.000000	27.000000	25.243605
Tree 10	61	0	0	?	0	0	0	1	0	0	0	0	68.448273	100.000000	7.000000	28.088634
Tree 11	71	0	0	1	0	0	0	0	0	0	0	0	75.764709	100.000000	32.000000	21.109043
Tree 12	59	0	0	?	0	0	0	0	0	0	0	0	67.785713	100.000000	10.000000	23.048639
Tree 13	74	0	0	1	0	0	0	0	0	0	0	0	62.450703	100.000000	10.000000	25.712269
Tree 14	57	0	0	1	0	0	0	0	0	0	0	0	65.129631	100.000000	18.000000	24.826845
Tree 15	66	0	0	1	0	0	0	0	1	0	0	0	74.539680	100.000000	32.000000	20.972261
Tree 16	59	0	0	?	0	0	0	0	0	0	0	0	68.607140	100.000000	17.000000	23.537720
Tree 17	68	0	0	1	0	0	0	0	0	0	0	0	71.061539	100.000000	15.000000	24.207359
Tree 18	67	0	1	?	0	0	1	0	1	0	0	0	80.203125	100.000000	31.000000	22.099331
Tree 19	57	0	0	1	0	0	0	0	0	0	0	0	66.833336	100.000000	29.000000	24.355963
Tree 20	56	0	1	1	0	0	0	0	0	0	0	0	75.452827	100.000000	22.000000	23.191221
Tree 21	60	0	0	1	0	0	0	0	0	0	0	0	65.842102	100.000000	14.000000	24.801521
Tree 22	69	0	0	0	0	0	0	0	0	0	0	0	68.848488	100.000000	18.000000	22.981709
Tree 23	60	0	0	1	0	0	0	0	0	0	0	0	60.578949	100.000000	13.000000	24.931450
Tree 24	63	0	0	0	0	0	0	0	1	0	0	0	72.983330	100.000000	14.000000	23.281960
Tree 25	63	0	0	?	0	0	0	1	0	0	0	0	74.633331	100.000000	15.000000	21.026150
Tree 26	53	0	0	1	0	0	1	0	0	0	0	0	70.040001	100.000000	15.000000	23.273987
Tree 27	57	0	0	?	0	1	0	0	0	0	1	0	67.518517	100.000000	30.000000	21.618525
Tree 28	51	0	0	?	0	0	0	0	0	0	0	0	67.770836	100.000000	12.000000	26.954620
Tree 29	52	0	0	1	0	0	0	0	0	0	0	0	60.428570	100.000000	15.000000	26.169777
Tree 30	67	0	0	1	0	0	0	0	0	0	0	0	65.031250	100.000000	8.000000	28.114693
Tree 31	63	0	0	1	0	0	0	1	0	0	0	0	68.666664	100.000000	18.000000	21.636131
Tree 32	71	0	0	1	0	0	0	1	0	0	0	0	64.250000	100.000000	11.000000	29.178143
Tree 33	66	0	0	1	0	0	0	1	1	0	0	0	78.174606	100.000000	31.000000	20.257504
Tree 34	65	0	0	1	0	0	0	1	1	0	0	0	77.741936	100.000000	17.000000	22.739008
Tree 35	58	0	0	1	0	0	0	0	0	0	0	0	66.272728	100.000000	18.000000	22.259180
Tree 36	62	0	0	1	0	0	0	0	0	0	0	0	71.932205	100.000000	10.000000	23.441858
Tree 37	64	0	0	1	0	0	0	0	0	0	0	0	73.557381	100.000000	22.000000	19.677336
Tree 38	73	0	0	1	0	0	0	0	0	0	0	0	67.514282	100.000000	14.000000	25.059214
Tree 39	65	0	0	?	0	0	0	0	0	0	0	0	71.225807	100.000000	15.000000	21.575390
Tree 40	58	0	0	1	0	1	0	0	1	0	0	0	77.181816	100.000000	23.000000	22.715708
Tree 41	60	0	0	1	0	0	0	0	0	0	0	0	74.473686	100.000000	4.000000	24.290710
Tree 42	61	0	0	?	0	0	0	1	1	0	0	0	76.103447	100.000000	17.000000	24.827467
Tree 43	63	0	0	1	0	0	0	1	0	0	0	0	74.416664	100.000000	20.000000	22.902182
Tree 44	62	0	0	1	0	0	0	1	0	0	0	0	72.288139	100.000000	17.000000	21.745874
Tree 45	58	0	0	?	0	0	0	1	0	0	0	0	69.800003	100.000000	22.000000	24.527832
Tree 46	55	0	0	1	0	0	0	0	0	0	0	0	68.692307	100.000000	21.000000	24.203894
Tree 47	58	0	0	1	0	0	0	0	0	0	0	0	67.690910	100.000000	19.000000	21.442417
Tree 48	66	0	0	?	0	0	0	0	1	0	0	0	73.666664	100.000000	9.000000	23.713905
Tree 49	64	0	0	1	0	0	0	1	0	0	0	0	77.147537	100.000000	14.000000	24.698069
Tree 50	67	0	0	1	0	0	0	0	0	0	0	0	71.546875	100.000000	32.000000	24.318804
Tree 51	69	0	0	1	0	0	1	0	0	0	0	0	70.636360	100.000000	4.000000	26.813410
Tree 52	65	0	0	1	0	0	0	0	0	0	0	0	73.370964	100.000000	28.000000	17.983177
Tree 53	58	0	0	1	0	0	0	0	0	0	0	0	60.909092	100.000000	14.000000	26.773306
Tree 54	54	0	0	1	0	0	0	0	0	0	0	0	60.686275	100.000000	20.000000	23.494255
Tree 55	66	0	0	1	0	0	0	0	0	0	0	0	68.873016	100.000000	11.000000	27.144815
Tree 56	68	0	0	1	0	0	0	0	1	0	0	0	66.969231	100.000000	18.000000	23.259052
Tree 57	57	0	0	?	0	0	0	0	0	0	0	0	65.870369	100.000000	18.000000	24.195229
Tree 58	68	0	0	1	0	0	0	0	0	0	0	0	68.215385	100.000000	22.000000	24.379999
Tree 59	61	0	0	?	0	0	0	0	0	0	0	0	73.724136	100.000000	26.000000	19.924679
Tree 60	57	0	0	?	0	0	0	0	0	0	0	0	67.018517	100.000000	18.000000	24.420309
Tree 61	67	0	0	0	0	0	0	0	0	0	0	0	70.125000	100.000000	25.000000	23.539528
Tree 62	62	0	0	1	0	0	0	0	1	0	0	0	78.271187	100.000000	17.000000	23.255274
Tree 63	67	0	0	1	0	0	0	0	0	0	0	0	68.750000	100.000000	19.000000	24.833822
Tree 64	66	0	0	1	0	0	0	0	0	0	0	0	75.920631	100.000000	7.000000	24.352766
Tree 65	63	0	1	?	0	0	0	1	1	0	0	0	74.900002	100.000000	8.000000	24.513742
Tree 66	67	0	0	0	0	0	0	0	0	0	0	0	69.156250	100.000000	24.000000	23.856474
Tree 67	73	0	0	0	0	0	0	0	0	0	0	0	58.057144	100.000000	21.000000	26.105223
Tree 68	59	0	0	1	0	0	0	0	0	0	0	0	69.071426	100.000000	22.000000	21.671949
Tree 69	51	0	0	?	0	0	0	0	0	0	0	0	51.645832	99.000000	16.000000	23.483585
Tree 70	66	0	0	1	0	0	0	0	0	0	0	0	72.714287	100.000000	17.000000	22.264946
Tree 71	66	0	0	1	0	0	0	0	0	0	0	0	62.841270	100.000000	20.000000	24.402840
Tree 72	65	0	0	1	0	0	0	1	0	0	1	0	76.693550	100.000000	15.000000	23.449734
Tree 73	59	0	0	1	0	0	0	1	0	0	0	0	69.482140	100.000000	17.000000	25.764727
Tree 74	63	0	0	?	0	0	0	0	0	0	0	0	70.516670	100.000000	23.000000	20.504873
Tree 75	67	0	1	1	0	0	0	0	0	0	0	0	83.062500	100.000000	35.000000	16.496094
Tree 76	68	0	0	?	0	0	0	0	0	0	0	0	69.646156	100.000000	18.000000	25.912533
Tree 77	60	0	0	1	0	0	0	0	0	0	0	0	66.859650	100.000000	21.000000	25.489889
Tree 78	64	0	0	?	0	0	0	1	0	0	0	0	72.803276	100.000000	18.000000	26.257751
Tree 79	58	0	0	1	0	0	0	0	0	0	0	0	72.599998	100.000000	2.000000	24.510927
Tree 80	57	0	0	?	0	0	0	0	0	0	0	0	53.351852	100.000000	4.000000	28.047020
Tree 81	54	0	0	?	0	0	0	0	0	0	0	0	62.333332	100.000000	16.000000	20.324492
Tree 82	59	0	0	1	0	0	0	0	1	0	0	0	70.625000	100.000000	28.000000	21.734241
Tree 83	70	0	0	1	0	0	0	0	0	0	0	0	76.014923	100.000000	19.000000	24.152187
