Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	boot_average	boot_max	boot_min	boot_stdev
Tree 1	53	0	0	0	0	0	0	1	0	0	0	72.900002	100.000000	11.000000	29.211130
Tree 2	44	0	0	0	0	0	0	0	0	0	0	69.853661	100.000000	13.000000	26.121258
Tree 3	51	1	0	0	0	0	0	0	0	0	0	76.958336	100.000000	34.000000	22.408108
Tree 4	53	0	0	0	0	0	0	1	0	0	0	81.720001	100.000000	21.000000	23.213823
Tree 5	53	1	0	0	0	0	0	1	1	0	0	80.379997	100.000000	30.000000	20.581442
Tree 6	52	1	0	0	0	0	1	0	0	0	1	83.591835	100.000000	40.000000	19.935528
Tree 7	49	0	0	0	0	0	0	1	0	0	0	79.913040	100.000000	22.000000	19.442028
Tree 8	50	0	0	0	1	0	1	1	0	0	1	84.914894	100.000000	32.000000	19.196444
Tree 9	50	0	0	0	0	0	0	1	0	0	0	68.319145	100.000000	16.000000	28.182613
Tree 10	44	0	0	0	0	0	0	0	0	0	0	56.170731	100.000000	15.000000	27.955456
Tree 11	53	1	0	1	0	1	1	1	0	0	0	79.699997	100.000000	29.000000	24.643253
Tree 12	55	0	0	0	0	0	0	1	0	0	0	82.346153	100.000000	35.000000	22.161022
Tree 13	44	0	0	0	0	0	0	0	0	0	0	74.341461	100.000000	12.000000	27.060556
Tree 14	53	0	0	0	0	0	1	1	0	0	0	79.160004	100.000000	22.000000	23.890886
Tree 15	46	0	0	1	0	0	0	0	0	0	0	71.279068	100.000000	13.000000	27.449171
Tree 16	51	0	0	0	1	0	1	0	0	0	0	82.333336	100.000000	20.000000	21.430447
Tree 17	50	0	0	0	0	0	1	0	0	0	0	72.489365	100.000000	20.000000	26.378485
Tree 18	52	0	0	0	0	1	0	1	0	0	1	84.102043	100.000000	42.000000	17.630270
Tree 19	52	0	0	0	0	0	0	1	0	0	0	76.693878	100.000000	20.000000	29.161901
Tree 20	51	0	0	0	0	0	0	0	0	0	0	71.833336	100.000000	12.000000	28.222578
Tree 21	47	0	0	0	0	0	0	0	0	0	0	70.750000	100.000000	34.000000	22.686726
Tree 22	48	0	0	0	0	0	0	1	0	0	0	80.955559	100.000000	29.000000	23.211067
Tree 23	53	0	0	0	1	1	0	0	0	0	0	78.680000	100.000000	18.000000	23.184856
Tree 24	45	0	0	0	0	0	0	0	0	0	0	70.785713	100.000000	13.000000	26.644518
Tree 25	53	0	0	0	0	1	0	0	0	0	0	81.320000	100.000000	31.000000	23.255486
Tree 26	50	0	0	0	0	0	0	0	0	0	0	67.680855	100.000000	11.000000	27.742054
Tree 27	46	0	0	0	0	0	1	0	0	0	0	72.232559	100.000000	14.000000	27.752090
Tree 28	49	0	0	0	0	0	0	0	0	0	0	69.826088	100.000000	15.000000	28.109495
Tree 29	50	1	1	1	1	?	1	0	1	0	1	89.893616	100.000000	34.000000	16.551958
Tree 30	48	0	0	0	0	0	0	0	0	0	0	68.088890	100.000000	17.000000	26.562143
Tree 31	52	0	0	0	0	0	0	0	0	0	0	81.632652	100.000000	28.000000	19.511057
Tree 32	59	0	0	0	0	0	0	1	0	0	1	80.142860	100.000000	28.000000	24.485003
Tree 33	43	0	0	0	0	0	1	0	0	0	0	63.525002	100.000000	22.000000	24.560118
Tree 34	51	0	0	0	0	0	0	1	0	0	0	72.500000	100.000000	23.000000	25.856977
Tree 35	47	0	0	0	0	0	0	0	0	0	0	64.931816	100.000000	23.000000	28.806877
Tree 36	44	0	0	0	0	0	1	1	0	0	0	74.975609	100.000000	24.000000	24.240149
Tree 37	48	0	1	0	0	1	1	1	0	0	0	74.400002	100.000000	21.000000	27.153389
Tree 38	58	1	0	0	0	0	0	1	0	0	0	81.618179	100.000000	33.000000	20.443705
Tree 39	46	0	0	0	0	0	0	0	0	0	0	76.209305	100.000000	17.000000	27.010386
Tree 40	47	0	0	0	0	0	0	0	0	0	0	71.136360	100.000000	16.000000	24.368937
Tree 41	49	0	1	0	0	1	0	1	0	0	0	81.152176	100.000000	30.000000	19.820902
Tree 42	49	0	0	0	0	0	0	0	0	0	0	71.673912	100.000000	12.000000	30.448854
Tree 43	49	0	0	1	1	0	0	0	0	0	0	76.782608	100.000000	23.000000	25.903593
Tree 44	50	0	0	0	0	0	1	0	0	0	0	79.276596	100.000000	25.000000	23.709858
Tree 45	49	0	0	1	0	0	1	0	0	0	0	79.304344	100.000000	18.000000	25.157652
Tree 46	56	0	0	0	0	0	0	0	0	0	0	73.584908	100.000000	9.000000	29.466600
Tree 47	44	0	0	0	0	0	0	0	0	0	0	72.902435	100.000000	29.000000	22.980165
Tree 48	55	1	0	0	0	0	1	1	1	0	0	85.096153	100.000000	17.000000	21.843201
Tree 49	56	0	0	0	0	0	0	0	0	0	0	81.339622	100.000000	36.000000	21.193577
Tree 50	54	1	1	0	1	1	1	1	1	0	0	90.117645	100.000000	47.000000	13.556921
Tree 51	55	0	1	0	0	1	0	1	0	0	0	81.211540	100.000000	31.000000	20.373753
Tree 52	55	0	0	0	0	0	1	0	0	0	0	76.673080	100.000000	24.000000	24.088558
Tree 53	45	0	1	0	0	0	0	0	0	0	0	72.071426	100.000000	30.000000	22.020979
Tree 54	45	0	0	0	0	0	1	1	0	0	0	79.500000	100.000000	25.000000	23.801010
Tree 55	48	1	0	0	0	?	0	0	0	0	0	78.888885	100.000000	31.000000	22.719765
Tree 56	54	0	0	0	0	0	0	0	0	0	0	74.509804	100.000000	28.000000	24.717520
Tree 57	44	0	0	0	0	0	1	1	0	0	0	77.926826	100.000000	28.000000	21.620213
Tree 58	55	0	0	1	0	0	0	0	0	0	0	74.692307	100.000000	33.000000	21.789677
Tree 59	52	0	0	0	0	0	0	0	0	0	0	68.836731	100.000000	7.000000	28.510183
Tree 60	46	0	0	0	0	0	0	0	0	0	0	64.930229	100.000000	23.000000	25.609224
Tree 61	49	0	?	0	0	0	0	0	0	0	0	68.543480	100.000000	24.000000	25.993900
Tree 62	47	1	1	0	0	0	0	1	0	0	0	81.363640	100.000000	25.000000	20.866558
Tree 63	50	0	0	0	0	0	1	1	0	0	0	77.021278	100.000000	26.000000	23.000916
Tree 64	46	0	0	0	0	0	0	0	0	0	0	71.604652	100.000000	20.000000	24.905531
Tree 65	54	0	1	0	1	1	1	1	0	0	0	87.745094	100.000000	30.000000	15.482873
Tree 66	48	0	0	0	0	0	0	0	0	0	0	66.355553	100.000000	22.000000	26.488705
Tree 67	49	0	0	0	0	0	0	1	0	0	0	67.543480	100.000000	26.000000	25.023211
Tree 68	52	0	0	0	0	0	1	1	0	0	0	74.530609	100.000000	19.000000	24.385592
Tree 69	54	0	0	0	0	0	1	0	0	0	0	73.509804	100.000000	21.000000	27.068810
Tree 70	48	0	1	0	0	0	0	1	0	0	1	82.644447	100.000000	26.000000	21.585135
Tree 71	43	1	1	0	0	0	0	0	0	0	1	70.375000	100.000000	11.000000	26.560955
Tree 72	50	0	0	0	0	0	0	0	0	0	0	74.808510	100.000000	18.000000	27.265158
Tree 73	50	0	1	0	0	0	0	0	0	0	0	71.914894	100.000000	25.000000	25.171608
Tree 74	45	0	0	0	0	0	0	0	0	0	0	82.023811	100.000000	19.000000	23.328390
Tree 75	56	1	0	0	0	0	0	0	0	0	0	79.924530	100.000000	26.000000	21.468580
Tree 76	48	0	0	0	1	0	1	0	0	0	0	76.199997	100.000000	12.000000	23.429895
Tree 77	49	0	0	0	0	0	0	1	0	0	0	71.086960	100.000000	15.000000	30.099707
Tree 78	55	0	0	0	0	0	0	1	0	0	1	80.307693	100.000000	24.000000	21.802910
Tree 79	48	0	0	0	0	0	0	0	0	0	0	70.044441	100.000000	17.000000	28.794256
Tree 80	46	0	0	0	0	0	1	0	0	0	0	72.046509	100.000000	31.000000	24.918427
Tree 81	48	0	1	1	1	?	1	1	0	0	1	81.822220	100.000000	22.000000	22.993998
Tree 82	53	0	0	0	0	0	0	1	0	0	1	72.959999	100.000000	24.000000	28.214861
Tree 83	45	0	0	1	1	0	0	0	0	0	0	69.952377	100.000000	3.000000	31.685173
Tree 84	55	0	1	0	0	0	0	0	0	0	0	72.576920	100.000000	16.000000	28.582771
Tree 85	47	0	1	0	0	0	0	1	0	0	1	77.659088	100.000000	25.000000	22.234236
Tree 86	53	0	0	0	1	0	0	0	0	0	0	67.739998	100.000000	14.000000	28.168638
Tree 87	56	0	0	0	0	0	1	0	0	0	0	79.358490	100.000000	4.000000	27.352411
Tree 88	51	0	0	0	0	0	0	1	0	0	0	74.750000	100.000000	27.000000	20.473051
Tree 89	49	1	0	1	0	1	1	1	0	0	1	82.608696	100.000000	34.000000	20.167210
Tree 90	46	0	1	0	0	1	1	1	0	0	1	84.209305	100.000000	27.000000	19.081900
Tree 91	51	1	1	1	1	1	1	0	0	0	0	76.875000	100.000000	4.000000	25.972441
Tree 92	47	0	0	0	0	0	0	0	0	0	0	68.181816	100.000000	6.000000	30.161894
Tree 93	54	0	0	0	0	0	0	0	0	0	0	64.568626	100.000000	10.000000	24.715046
Tree 94	50	1	0	0	0	0	0	1	0	0	0	80.404259	100.000000	22.000000	22.060516
Tree 95	50	0	0	0	0	0	0	0	0	0	0	67.234039	100.000000	20.000000	26.340014
Tree 96	52	0	0	0	0	0	0	0	0	0	0	63.448978	100.000000	21.000000	25.925373
Tree 97	52	0	0	0	0	0	0	1	0	0	1	78.020409	100.000000	27.000000	23.943378
Tree 98	56	0	0	0	1	0	0	1	0	0	0	78.245285	100.000000	29.000000	23.267847
Tree 99	52	0	0	0	0	1	0	1	0	0	0	78.591835	100.000000	17.000000	25.382719
Tree 100	54	0	0	0	0	0	0	0	0	0	0	62.509804	100.000000	10.000000	26.577576
Tree 101	57	0	1	0	0	0	0	1	1	0	1	85.592590	100.000000	32.000000	18.603580
Tree 102	58	1	0	0	0	0	0	0	0	0	0	83.599998	100.000000	31.000000	20.703627
Tree 103	51	0	0	0	0	0	0	0	0	0	0	67.812500	100.000000	13.000000	26.425726
Tree 104	55	0	0	0	0	0	1	1	0	0	0	73.403847	100.000000	17.000000	25.704130
Tree 105	54	0	0	0	0	0	0	0	0	0	0	71.156860	100.000000	17.000000	26.431839
Tree 106	52	0	0	0	0	0	1	0	1	0	0	72.530609	100.000000	1.000000	26.933859
Tree 107	50	0	0	0	0	0	0	0	0	0	0	73.553192	100.000000	24.000000	23.350983
Tree 108	43	0	0	1	0	1	0	0	0	0	0	71.650002	100.000000	19.000000	27.978163
Tree 109	54	0	1	1	0	0	1	1	1	0	1	85.686272	100.000000	22.000000	20.450314
Tree 110	45	1	1	0	0	1	0	1	1	0	1	82.952377	100.000000	35.000000	21.014677
Tree 111	47	0	0	0	0	0	0	1	0	0	0	75.886360	100.000000	18.000000	27.597937
Tree 112	44	0	0	0	0	0	1	0	0	0	0	77.487808	100.000000	16.000000	24.938089
Tree 113	52	1	0	0	0	0	0	0	0	0	0	76.142860	100.000000	36.000000	21.131271
Tree 114	50	0	0	0	0	0	0	0	0	0	0	74.644447	100.000000	5.000000	27.816185
Tree 115	54	1	0	1	0	1	1	0	0	0	0	82.960785	100.000000	24.000000	20.269712
Tree 116	52	1	0	0	0	0	0	0	0	0	0	77.755104	100.000000	14.000000	26.748661
Tree 117	49	0	1	0	0	0	0	1	0	0	0	75.000000	100.000000	14.000000	24.168791
Tree 118	45	0	0	0	0	1	0	1	0	0	0	73.023811	100.000000	22.000000	27.399590
Tree 119	56	0	0	0	0	0	0	0	0	0	0	77.169815	100.000000	22.000000	21.209408
Tree 120	44	0	0	0	0	0	0	0	0	0	0	63.634148	100.000000	13.000000	28.334032
Tree 121	48	1	1	0	0	1	1	1	1	0	1	81.177780	100.000000	30.000000	20.468174
Tree 122	52	0	0	1	0	0	1	1	0	0	0	74.959183	100.000000	30.000000	23.805300
Tree 123	53	0	0	0	0	0	0	1	0	0	0	78.440002	100.000000	36.000000	21.232199
Tree 124	47	0	0	0	0	0	0	1	0	0	0	75.522728	100.000000	12.000000	23.250111
Tree 125	51	0	1	0	0	1	0	1	0	0	1	82.562500	100.000000	43.000000	19.324968
Tree 126	54	0	0	0	0	0	0	0	0	0	0	74.803925	100.000000	12.000000	23.428673
Tree 127	48	0	0	0	0	0	0	0	0	0	0	70.355553	100.000000	14.000000	24.507738
Tree 128	49	1	0	0	0	1	0	0	0	0	0	80.478264	100.000000	25.000000	21.060720
Tree 129	47	1	0	1	0	0	0	1	0	0	0	85.159088	100.000000	44.000000	15.387336
