Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 1	16	0	0	0	0	0	0	0	0	37.000000	73.000000	7.000000	19.646883
Tree 2	17	0	0	0	0	1	0	0	0	56.357143	100.000000	19.000000	27.678272
Tree 3	17	0	0	0	0	0	0	0	0	46.071430	85.000000	9.000000	23.091322
Tree 4	16	1	0	0	?	0	1	0	1	62.769230	98.000000	31.000000	19.111631
Tree 5	16	1	0	0	1	0	0	1	1+	62.769230	100.000000	38.000000	17.493532
Tree 6	16	0	0	0	0	1	?	0	0	43.923077	89.000000	10.000000	25.357328
Tree 7	20	0	0	0	0	0	0	0	0	54.000000	96.000000	26.000000	25.244684
Tree 8	19	0	0	0	0	0	0	0	0	46.250000	90.000000	17.000000	23.649788
Tree 9	20	0	0	0	1	0	0	0	0	41.352940	93.000000	13.000000	19.691566
Tree 10	22	0	0	0	0	0	0	1	0	57.842106	94.000000	5.000000	26.028856
Tree 11	18	0	0	0	?	0	0	1	0	56.866665	100.000000	13.000000	29.170458
Tree 12	19	0	0	0	0	0	0	1	0	43.125000	100.000000	8.000000	27.649311
Tree 13	16	0	0	0	0	0	?	0	1	50.846153	100.000000	23.000000	20.557035
Tree 14	21	0	0	0	0	1	0	1	0	52.722221	99.000000	26.000000	23.590971
Tree 15	19	0	0	0	?	0	0	0	0	45.062500	96.000000	15.000000	18.355751
Tree 16	18	0	0	0	1	0	?	1	0	64.666664	99.000000	36.000000	18.753370
Tree 17	22	0	1	0	0	0	0	1	0	59.842106	99.000000	12.000000	26.573164
Tree 18	19	0	0	0	?	0	1	0	0	43.750000	89.000000	24.000000	20.656416
Tree 19	16	0	0	0	?	0	0	1	0	43.846153	74.000000	17.000000	19.532404
Tree 20	19	0	0	0	1	0	0	0	0	47.687500	93.000000	8.000000	23.761099
Tree 21	19	0	0	0	0	0	?	0	0	56.937500	98.000000	23.000000	24.468012
Tree 22	22	0	0	0	?	0	0	0	0	49.789474	96.000000	21.000000	20.513355
Tree 23	18	0	0	0	0	0	0	1	0	47.066666	79.000000	18.000000	19.546412
Tree 24	21	0	0	0	0	0	0	0	0	54.166668	95.000000	22.000000	17.378946
Tree 25	17	0	1	0	1	0	0	1	1	68.071426	100.000000	37.000000	18.343798
Tree 26	19	0	1	0	?	1	0	1	1	60.875000	98.000000	27.000000	24.077673
Tree 27	19	0	1	0	0	?	0	1	0	63.062500	89.000000	20.000000	23.485285
Tree 28	17	0	0	0	?	0	0	0	0	64.071426	100.000000	40.000000	14.537951
Tree 29	21	0	0	0	0	0	0	0	0	46.500000	86.000000	11.000000	20.218941
Tree 30	16	0	0	0	0	0	0	1	0	49.384617	92.000000	15.000000	22.598633
Tree 31	16	0	0	0	?	0	?	0	0	53.769230	94.000000	27.000000	19.251987
Tree 32	16	1	1	1	?	0	?	0	1	54.461540	100.000000	12.000000	28.443235
Tree 33	19	0	0	0	0	0	?	0	0	57.250000	100.000000	24.000000	24.676659
Tree 34	16	0	0	0	?	0	0	1	0	62.692307	100.000000	19.000000	21.477663
Tree 35	18	0	0	0	1	0	1	1	1	45.599998	100.000000	4.000000	30.693756
Tree 36	18	0	0	0	0	0	0	0	0	56.333332	95.000000	19.000000	24.173449
Tree 37	19	0	0	0	0	0	0	1	1	64.187500	100.000000	17.000000	26.615829
Tree 38	22	0	0	0	0	0	0	1	0	54.421051	100.000000	10.000000	30.351130
Tree 39	16	0	0	0	?	0	?	0	0	53.692307	91.000000	24.000000	21.966354
Tree 40	16	1	0	0	1	0	0	1	0	50.230770	86.000000	19.000000	23.752420
Tree 41	16	0	0	0	?	0	0	1	0	66.461540	97.000000	39.000000	20.956421
Tree 42	17	0	0	0	0	0	?	1	1	63.571430	99.000000	32.000000	19.772688
Tree 43	16	0	0	0	0	0	?	0	0	48.230770	82.000000	21.000000	18.655392
Tree 44	15	0	0	0	0	0	0	1	1	46.416668	97.000000	12.000000	21.780949
Tree 45	22	0	0	0	1	0	0	0	0	57.578949	99.000000	17.000000	24.140633
Tree 46	16	0	0	0	1	0	?	1	0	54.769230	89.000000	17.000000	22.665302
Tree 47	20	0	0	0	?	0	0	0	0	44.882355	85.000000	7.000000	20.593781
Tree 48	16	0	0	0	0	0	?	0	1	41.461540	64.000000	19.000000	12.683213
Tree 49	16	0	0	0	0	0	?	0	0	40.769230	77.000000	18.000000	14.115751
Tree 50	15	0	0	0	0	0	1	0	0	41.750000	100.000000	12.000000	22.778372
Tree 51	16	0	0	0	?	?	0	1	0	54.000000	88.000000	18.000000	20.777206
Tree 52	17	0	0	0	0	0	?	1	1	54.642857	89.000000	5.000000	25.927389
Tree 53	23	0	0	0	0	0	0	0	0	46.299999	100.000000	16.000000	20.964495
Tree 54	17	0	1	0	0	0	?	1	1	55.714287	98.000000	15.000000	24.211651
Tree 55	17	0	0	0	0	0	?	0	0	45.142857	91.000000	10.000000	27.606565
Tree 56	17	0	0	0	?	0	?	0	0	49.285713	98.000000	17.000000	22.609821
Tree 57	18	0	0	0	?	0	0	1	0	50.333332	100.000000	13.000000	23.035238
Tree 58	20	0	0	0	?	0	0	0	0	45.294117	93.000000	13.000000	23.755531
Tree 59	20	0	0	0	1	0	0	0	0	54.941177	100.000000	16.000000	27.505016
Tree 60	17	0	1	0	0	0	?	1	0	63.428570	100.000000	36.000000	21.060167
Tree 61	16	0	0	0	1	0	0	1	1	61.384617	95.000000	29.000000	25.369694
Tree 62	16	0	0	0	0	?	0	1	0	56.076923	94.000000	27.000000	20.265400
Tree 63	18	0	0	0	0	1	0	0	0	69.199997	100.000000	20.000000	25.890024
Tree 64	21	0	0	0	0	1	0	1	0	59.555557	99.000000	29.000000	23.758558
Tree 65	17	0	0	0	?	0	0	0	1	52.642857	95.000000	19.000000	22.480490
